,Player,Event,X,Y,Distance,Slope,Type,Detail,Period,Home Team Skaters,Away Team Skaters,Result,Predicted Result,xG%
220,Mackenzie MacNeil,Shot,138,32,62.882827544568954,0.17099272396986676,Snapshot,On Net,1,5,5,0,0,0.20170467
221,Mikyla Grant-Mentis,Shot,147,73,61.14940719254766,-0.6487154933029801,Wristshot,On Net,1,5,5,0,0,0.119958
222,Leila Kilduff,Goal,148,40,52.06006146750117,0.048113998870900704,Snapshot,On Net,1,5,5,1,1,0.7152876
223,Mallory Rushton,Shot,162,53,39.423977475642914,-0.283569680441019,Wristshot,On Net,1,5,5,0,0,0.098319344
224,Brooke Boquist,Shot,160,6,54.150253923689036,1.293027672608425,Wristshot,On Net,2,5,5,0,0,0.0032586886
225,Emma Woods,Shot,169,74,44.1955880150949,-1.6140866893179324,Slapshot,On Net,2,5,5,0,0,0.011505773
226,Shiann Darkangelo,Shot,140,71,66.42476947645359,-0.5142721131734951,Wristshot,On Net,2,5,5,0,0,0.115832776
227,Mikyla Grant-Mentis,Shot,149,51,51.70348150753487,-0.16822721830224246,Wristshot,On Net,2,5,5,0,0,0.28786102
228,Mikyla Grant-Mentis,Shot,140,73,67.3071318657986,-0.5571726146905341,Wristshot,On Net,2,5,5,0,0,0.011845723
229,Kristen Barbara,Shot,177,31,25.71478174124758,0.5463024898437905,Wristshot,On Net,2,5,5,0,0,0.027905153
230,Emma Woods,Shot,128,80,81.18035476640885,-0.573668881261775,Wristshot,On Net,2,4,5,0,0,0.01428934
231,Emma Woods,Shot,144,77,65.77423507727019,-0.707994732668772,Wristshot,On Net,2,4,5,0,0,0.030670542
232,Taylor Woods,Shot,139,54,62.07455195166535,-0.19079028975413378,Wristshot,On Net,2,4,5,0,0,0.06226855
233,Leila Kilduff,Shot,161,62,43.603325561245896,-0.5463024898437905,Wristshot,On Net,2,5,5,0,0,0.045550566
234,Allie Olnowich,Shot,136,63,67.20305052599919,-0.3317362595735728,Wristshot,Missed,2,5,5,0,0,0.0017074895
235,Kendall Cornine,Shot,170,59,34.23813663153998,-0.6131052132881357,Wristshot,On Net,2,5,5,0,0,0.07681777
236,Mikyla Grant-Mentis,Shot,151,63,53.115440316352455,-0.44461572303481256,Wristshot,On Net,2,5,5,0,0,0.066845946
237,Kelly Babstock,Shot,171,61,34.39840112563373,-0.7413328766458706,Wristshot,On Net,2,5,4,0,0,0.07995646
238,Theresa Knutson,Shot,171,18,37.963798545456434,1.1265272828184227,Wristshot,On Net,2,5,5,0,0,0.004176576
239,Rebecca Morse,Shot,160,40,40.078048854703496,0.06258150756627502,Slapshot,On Net,2,5,5,0,0,0.07887635
240,Mikyla Grant-Mentis,Shot,155,71,53.26584271369411,-0.734232547412554,Wrap Around,On Net,2,5,5,0,0,0.28432906
241,Amy Curlew,Shot,187,38,13.756816492197604,0.36067594645330486,Wrap Around,On Net,2,5,5,0,0,0.08534785
242,Sarah-Eve Coutu Godbout,Shot,187,47,13.756816492197604,-0.36067594645330486,Wrap Around,On Net,2,5,5,0,0,0.09744572
243,Kate Leary,Shot,155,58,47.59464255564905,-0.3587453619695229,Snapshot,On Net,2,5,5,0,1,0.5992425
244,Madison Packer,Shot,165,58,38.27858409084641,-0.47427562172314436,Wristshot,On Net,2,5,5,0,0,0.05042069
245,Rebecca Russo,Shot,156,40,44.070965498840614,0.056879403030736464,Fan,Missed,2,5,5,0,0,0.0009228289
246,Brooke Boquist,Shot,173,8,43.8092455995307,3.31451669186584,Wristshot,On Net,2,5,5,0,0,0.0061383396
247,Lindsay Eastwood,Shot,157,13,52.146428449127754,0.8187111633089983,Wristshot,Missed,2,5,5,0,0,0.0018416581
248,Lindsay Eastwood,Shot,144,4,67.9577074363166,0.8211418015898941,Slapshot,Missed,3,5,5,0,0,0.0009964971
249,Kendall Cornine,Shot,180,38,20.5,0.22887537020775817,Snapshot,Missed,3,5,5,0,0,0.002755867
250,Mallory Rushton,Shot,150,42,50.002499937503124,0.010000333346667207,Snapshot,On Net,3,5,5,0,0,0.41375402
251,Natalie Marcuzzi,Shot,179,68,33.03407331831786,-2.6851094289090547,Snapshot,On Net,3,5,5,0,0,0.04892464
252,Emma Greco,Shot,127,53,73.75127117548551,-0.14483581762543768,Snapshot,Missed,3,5,5,0,0,0.0016613977
253,Natalie Marcuzzi,Shot,145,50,55.509008277936296,-0.1372152000205269,Deflection,On Net,3,5,5,0,0,0.022036733
254,Taylor Woods,Shot,133,81,77.27386362800814,-0.6475157857331006,Snapshot,On Net,3,5,5,0,0,0.013267643
255,Rebecca Russo,Shot,175,29,28.412145290350743,0.5994296231624898,Slapshot,On Net,3,5,5,0,0,0.063196465
256,Paige Voight,Shot,175,31,27.518175811634027,0.49544876911954966,Snapshot,On Net,3,5,5,0,1,0.5777611
257,Shiann Darkangelo,Shot,163,59,40.512343797909296,-0.47806477498862776,Snapshot,On Net,3,5,5,0,0,0.068570636
258,Mikyla Grant-Mentis,Shot,183,60,24.397745797511703,-1.6630267310496172,Snapshot,On Net,3,5,5,0,0,0.06657536
259,Mackenzie MacNeil,Shot,166,48,34.44198019858905,-0.16319064311765505,Wristshot,Missed,3,5,5,0,0,0.003247525
260,Lindsay Eastwood,Shot,135,3,76.06083091841687,0.6954894161785037,Slapshot,Missed,3,5,5,0,0,0.001400327
261,Mackenzie MacNeil,Shot,188,55,17.327723451163457,-1.710136975532496,Wristshot,On Net,3,5,5,0,0,0.40751094
262,Sarah Steele,Shot,145,8,64.92495668077107,0.7249458950958738,Wristshot,On Net,3,5,5,0,0,0.0056434097
263,Emma Greco,Shot,135,20,68.78408246098802,0.36067594645330486,Wristshot,Missed,3,5,5,0,0,0.002076471
264,Madison Packer,Shot,160,30,41.907636535600524,0.32308624435174554,Snapshot,Missed,3,5,5,0,0,0.002050758
265,Kiira Dosdall,Shot,154,76,56.90562362368064,-0.8917904323707667,Wristshot,On Net,3,5,5,0,0,0.017795052
266,Brooke Boquist,Shot,164,18,43.54595273960601,0.8095806400113845,Slapshot,On Net,3,5,5,0,0,0.0024546643
267,Lindsay Eastwood,Shot,143,25,59.62591718372138,0.3170421489420907,Wristshot,Missed,3,5,5,0,0,0.0027986849
268,Mikyla Grant-Mentis,Shot,132,40,68.04594036384536,0.036781279102632417,Wristshot,On Net,3,5,5,0,0,0.2092705
269,Natalie Marcuzzi,Shot,187,20,25.985572920372565,-6.197643118166799,Snapshot,On Net,3,5,5,0,0,0.04762895
270,Taylor Woods,Shot,134,14,71.89054179793055,0.4608234683319332,Wristshot,Missed,3,5,5,0,0,0.00205093
271,Sarah Steele,Shot,152,5,60.91182151274086,0.9917378983632686,Wristshot,On Net,3,5,5,0,0,0.0070055197
272,Sarah-Eve Coutu Godbout,Shot,159,69,48.81854155953453,-0.7544475405003731,Wristshot,On Net,3,5,5,0,0,0.022447163
273,Mikyla Grant-Mentis,Shot,151,14,56.68553607402862,0.6575044118910841,Wristshot,On Net,3,5,6,0,0,0.026893929
274,Emily Janiga,Goal,121,25,80.91507894082537,0.22521490997801935,Wristshot,On Net,3,5,6,1,1,0.6124723
275,McKenna Brand,Shot,140,24,62.787339488148405,0.3184908011044253,Snapshot,Missed,1,5,5,0,0,0.0011397825
276,Jillian Dempsey,Shot,189,46,11.543396380615196,-0.32937276546596006,Snapshot,Missed,1,5,5,0,0,0.0019518881
277,Brooke Stacey,Shot,169,63,37.16517186829626,-0.7781745205321651,Snapshot,On Net,1,5,5,0,0,0.14757657
278,Dominique Kremer,Shot,136,61,66.62019213421709,-0.2973920872690246,Snapshot,Missed,1,5,5,0,0,0.0015478331
279,Autumn MacDougall,Shot,182,41,18.062391868188442,0.08352677191506926,Deflection,On Net,1,5,5,0,1,0.5892258
280,Autumn MacDougall,Shot,184,43,16.00781059358212,-0.031260176501255954,Snapshot,On Net,1,5,5,0,1,0.65370244
281,Tereza Vanisova,Shot,164,33,37.23237838226293,0.27018997077780377,Snapshot,On Net,1,5,5,0,0,0.30880725
282,McKenna Brand,Shot,142,63,61.516258013634086,-0.368941179453732,Snapshot,Missed,1,5,5,0,0,0.0017499527
283,Lauren Kelly,Shot,181,24,26.51886121235224,1.470792376563867,Snapshot,On Net,1,5,5,0,0,0.025158338
284,Kristin Lewicki,Shot,177,48,23.648467180770936,-0.24379525833286325,Fan,On Net,1,5,5,0,0,0.07677947
285,Marie-Jo Pelletier,Shot,130,79,78.94460082868238,-0.5744602801565788,Wristshot,Missed,1,5,5,0,0,0.0013108373
286,Meaghan Rickard,Shot,174,61,31.9100297712177,-0.8622072701980754,Snapshot,On Net,1,5,5,0,0,0.32148033
287,McKenna Brand,Shot,170,36,30.696090956341656,0.22012199672001576,Snapshot,Missed,1,5,5,0,0,0.003030927
288,Lenka Curmova,Shot,127,7,81.17419540716126,0.5286465780160085,Slapshot,On Net,1,5,5,0,0,0.044770442
289,Jillian Dempsey,Shot,179,31,23.942639787625758,0.6098340346641652,Snapshot,On Net,1,5,5,0,0,0.18804838
290,Erin Gehen,Shot,157,40,43.072613108563544,0.05820513143592661,Snapshot,Missed,1,5,5,0,0,0.0022471617
291,Mallory Souliotis,Shot,143,16,62.8589691293136,0.5015818407241142,Slapshot,On Net,1,5,5,0,0,0.008671349
292,Taylor Wenczkowski,Shot,191,54,14.603081866510234,-3.31451669186584,Snapshot,Missed,1,5,5,0,0,0.0018966943
293,Jillian Dempsey,Goal,196,54,12.175795661885921,0.27309324539073065,Snapshot,On Net,1,5,5,1,1,0.9704278
294,Samantha Davis,Shot,171,52,30.516389039334257,-0.3398301030456892,Wristshot,On Net,1,5,4,0,0,0.2788769
295,Taylor Turnquist,Shot,167,29,35.654592972014136,0.43355080911096977,Wristshot,On Net,1,5,4,0,0,0.17948143
296,Jordan Juron,Goal,183,41,17.066048165876012,0.088464993799199,Snapshot,On Net,1,5,5,1,1,0.83193743
297,Whitney Dove,Shot,146,34,54.66488818245218,0.15872045494434545,Wristshot,On Net,1,5,5,0,0,0.28765967
298,Tereza Vanisova,Shot,175,27,29.415132160165456,0.7139090066592402,Wristshot,Missed,1,5,5,0,0,0.001038589
299,McKenna Brand,Shot,162,27,41.0396150079408,0.43213053266554247,Snapshot,On Net,1,5,5,0,0,0.11032986
300,Marie-Jo Pelletier,Shot,151,76,59.35697094697471,-0.8147551778114202,Snapshot,On Net,1,5,5,0,0,0.098965414
301,Taylor Turnquist,Shot,161,78,52.73755777432247,-1.2870503094817727,Wristshot,Missed,1,5,5,0,0,0.0014170678
302,Lexie Laing,Shot,190,57,17.613914953808536,-8.238092752965605,Snapshot,On Net,1,5,5,0,0,0.24802604
303,McKenna Brand,Goal,158,25,45.5,0.44258038400206656,Wristshot,On Net,1,5,5,1,0,0.38816115
304,Kristin Lewicki,Shot,178,44,22.051077071199945,-0.06828766865945363,Snapshot,On Net,1,5,5,0,1,0.8113281
305,McKenna Brand,Shot,178,19,32.190837205639745,1.8191669708723477,Snapshot,On Net,2,5,5,0,1,0.51866704
306,Whitney Dove,Shot,134,20,69.72983579501675,0.3547600526059541,Fan,Missed,2,5,5,0,0,0.0011451495
307,Lexie Laing,Shot,179,39,21.289668856043768,0.16822721830224246,Fan,On Net,2,5,5,0,0,0.3323426
308,Tereza Vanisova,Shot,166,5,50.61867244406949,1.979137728014232,Snapshot,On Net,2,5,5,0,0,0.058711447
309,Christina Putigna,Shot,172,39,28.217902119044926,0.12565513657513097,Snapshot,On Net,2,5,4,0,1,0.6924167
310,Jillian Dempsey,Shot,194,25,18.5,-0.2287974813539474,Snapshot,On Net,2,5,4,0,1,0.746822
311,Kaleigh Fratkin,Shot,153,20,52.10806079677116,0.5189893222858825,Fan,Missed,2,5,3,0,0,0.0021794569
312,Jillian Dempsey,Goal,184,46,16.3783393541592,-0.22230728055343132,Snapshot,On Net,2,5,3,1,1,0.8389619
313,Taylor Wenczkowski,Shot,187,37,14.115594213493104,0.4502681807411527,Snapshot,On Net,2,5,4,0,0,0.28681728
314,Taylor Wenczkowski,Shot,184,43,16.00781059358212,-0.031260176501255954,Snapshot,On Net,2,5,4,0,1,0.50394475
315,Samantha Davis,Goal,184,47,16.62077013859466,-0.2889081724405147,Snapshot,On Net,2,5,4,1,1,0.81625783
316,Whitney Dove,Shot,174,39,26.23451924468981,0.13543445753117594,Snapshot,Missed,2,5,5,0,0,0.001711634
317,Kristin Lewicki,Shot,157,30,44.78001786511479,0.2991727473717181,Slapshot,On Net,2,5,5,0,0,0.07365768
318,Taylor Turnquist,Shot,155,45,45.069390943299865,-0.05561278212803699,Snapshot,On Net,2,5,4,0,0,0.49494833
319,Tereza Vanisova,Shot,167,34,34.077118422777474,0.26342740969734474,Snapshot,Missed,2,5,4,0,0,0.002348366
320,Lauren Kelly,Shot,138,68,67.03916765593081,-0.4361661363075215,Slapshot,On Net,2,5,5,0,0,0.0168473
321,Jordan Juron,Shot,177,55,26.177280225416848,-0.60416757598225,Snapshot,On Net,2,5,5,0,0,0.41320965
322,Taylor Wenczkowski,Shot,176,57,28.040149785619906,-0.6902711768407765,Snapshot,Missed,2,5,5,0,0,0.0022013318
323,Tori Sullivan,Shot,169,50,31.894356867634123,-0.24676907014146876,Snapshot,Missed,2,5,5,0,0,0.004988429
324,Dominique Kremer,Shot,179,37,21.70829334609241,0.26806213524647865,Fan,Missed,2,4,5,0,0,0.0012013396
325,Taylor Turnquist,Shot,131,69,73.91380114701178,-0.40412572743690567,Slapshot,On Net,2,5,5,0,0,0.0523887
326,Taylor Wenczkowski,Shot,185,78,38.53894134508627,0.9792719570457639,Snapshot,On Net,2,5,5,0,0,0.011826855
327,Samantha Davis,Shot,176,42,24.005207768315607,0.02083634793849349,Snapshot,Missed,2,5,5,0,0,0.0018138973
328,Jillian Dempsey,Shot,164,16,44.701789673345296,0.9059835481929034,Snapshot,On Net,2,5,5,0,0,0.010035129
329,Cassidy MacPherson,Shot,182,48,18.82153022471871,-0.3154339520974357,Fan,Missed,2,5,5,0,0,0.0009073915
330,Jordan Juron,Shot,177,31,25.71478174124758,0.5463024898437905,Wristshot,Missed,2,5,5,0,0,0.0010342958
331,Jordan Juron,Shot,171,16,39.284220750830734,1.2964885308489726,Wristshot,On Net,2,5,5,0,0,0.0032550478
332,Taylor Wenczkowski,Goal,181,38,19.525624189766635,0.24137226688581195,Wristshot,On Net,2,5,5,1,0,0.24431057
333,Whitney Dove,Shot,149,14,58.42302628245134,0.6253118413933366,Wristshot,On Net,2,5,5,0,0,0.01775357
334,Carlee Turner,Shot,176,76,41.20982892466311,-5.6570539790665535,Wristshot,On Net,2,5,5,0,0,0.007478907
335,Jordan Juron,Shot,180,46,20.303940504246953,-0.17680861712858184,Fan,On Net,3,5,5,0,0,0.32610562
336,Megan Delay,Shot,159,72,50.50990001969911,-0.8762052210390541,Snapshot,Missed,3,5,5,0,0,0.0013132385
337,Mary Parker,Shot,179,48,21.70829334609241,-0.26806213524647865,Snapshot,Missed,3,5,5,0,0,0.0029243506
338,Meghara McManus,Shot,172,44,28.040149785619906,-0.053622735648506475,Snapshot,On Net,3,5,5,0,1,0.73364586
339,Jordan Juron,Shot,160,73,50.30159043211258,-0.9552211990052597,Slapshot,Missed,3,5,5,0,0,0.0010045393
340,Lenka Curmova,Shot,161,56,41.270449476592816,-0.36067594645330486,Snapshot,On Net,3,5,5,0,0,0.068570636
341,Dominique Kremer,Shot,134,71,71.89054179793055,-0.4608234683319332,Snapshot,Missed,3,5,5,0,0,0.0016343287
342,Mary Parker,Shot,149,26,53.60270515561691,0.33531101627804666,Snapshot,On Net,3,5,5,0,0,0.2943587
343,Brooke Stacey,Shot,181,45,19.1637678967368,-0.13234358604272112,Snapshot,Missed,3,5,5,0,0,0.0030831061
344,Cassidy MacPherson,Shot,162,63,43.176961449365564,-0.5987144193286822,Snapshot,On Net,3,5,5,0,0,0.07549891
345,Iveta Klimasova,Shot,144,12,63.7671545546765,0.6057583914285228,Snapshot,On Net,3,5,5,0,0,0.124583945
346,Christina Putigna,Shot,177,20,32.17530108639234,1.4853676150072421,Snapshot,On Net,3,5,4,0,0,0.119416
347,Lauren Kelly,Shot,148,73,60.28474102125678,-0.6645538556695417,Snapshot,On Net,3,5,4,0,0,0.030060416
348,Kaleigh Fratkin,Shot,146,25,56.764865894318824,0.33591702760154013,Slapshot,On Net,3,5,3,0,0,0.059534788
349,Taylor Turnquist,Shot,138,34,62.57994886543133,0.1379622166596102,Slapshot,On Net,3,5,4,0,0,0.12104762
350,Meghara McManus,Shot,184,32,19.13765920900464,0.7701135513442087,Snapshot,On Net,3,5,5,0,0,0.025534857
351,Iveta Klimasova,Shot,146,62,57.41297762701391,-0.37767191525970745,Snapshot,On Net,3,5,5,0,0,0.07723075
352,Lexie Laing,Shot,182,29,22.5,0.9315964599440725,Snapshot,Missed,3,5,5,0,0,0.0012809236
353,McKenna Brand,Shot,172,58,32.00390601161052,-0.6180299391468247,Snapshot,Missed,3,5,5,0,0,0.0038829807
354,Lauren Kelly,Shot,165,7,49.852281793314134,1.6074607261236635,Snapshot,On Net,3,5,5,0,0,0.006770283
355,Erin Gehen,Shot,147,56,54.69232121605372,-0.260372543557359,Snapshot,On Net,3,5,5,0,0,0.082983136
356,Erin Gehen,Shot,176,50,25.144581921360317,-0.32308624435174554,Snapshot,Missed,3,4,5,0,0,0.001234885
357,Cassidy MacPherson,Shot,187,32,16.710774967068403,1.045612742861175,Snapshot,On Net,3,4,5,0,0,0.07787731
358,Carlee Turner,Shot,180,47,20.5,-0.22887537020775817,Snapshot,On Net,3,4,5,0,0,0.1386694
359,Carlee Turner,Shot,195,54,12.539936203984453,1.1192136417341325,Snapshot,On Net,3,4,5,0,0,0.0660436
360,Carlee Turner,Shot,188,56,18.062391868188442,-2.092571276372179,Snapshot,On Net,3,4,5,0,0,0.014784595
361,Alyson Matteau,Shot,132,34,68.52919086053767,0.12565513657513097,Snapshot,Missed,3,4,5,0,0,0.001728092
362,Tereza Vanisova,Shot,169,54,33.06433123473088,-0.38897690698381027,Slapshot,Missed,3,6,5,0,0,0.0037951244
363,McKenna Brand,Shot,145,63,58.69625200981746,-0.391004049625655,Snapshot,On Net,3,5,4,0,0,0.058445983
364,Tori Howran,Shot,133,16,72.05032963144582,0.4175251530687654,Slapshot,Missed,1,5,5,0,0,0.0011984936
365,Janine Weber,Shot,179,37,21.70829334609241,0.26806213524647865,Deflection,Missed,1,5,5,0,0,0.0019328165
366,Kiira Dosdall,Shot,131,81,79.01423922306662,-0.6241266119834384,Wristshot,On Net,1,5,5,0,0,0.031785488
367,Leila Kilduff,Shot,135,82,76.06083091841687,-0.6954894161785037,Snapshot,Missed,1,5,5,0,0,0.0010213753
368,Mallory Rushton,Goal,186,54,18.117670931993437,-1.07478781737917,Snapshot,On Net,1,5,5,1,1,0.9000265
369,Cailey Hutchison,Goal,152,34,48.74679476642541,0.17895787293395043,Wristshot,On Net,1,5,5,1,1,0.6129262
370,Janine Weber,Shot,174,18,35.7246413557925,1.3758896827379439,Snapshot,Missed,1,5,5,0,0,0.0013832004
371,Emma Vlasic,Shot,166,9,47.73101716913227,1.508156891968512,Snapshot,On Net,1,5,5,0,0,0.007404601
372,Kendall Cornine,Shot,166,58,37.36642878306676,-0.49033077756991744,Wristshot,Missed,1,5,5,0,0,0.0018821689
373,Mallory Rushton,Shot,167,21,39.38591118661596,0.7625979317265911,Wristshot,On Net,1,5,5,0,0,0.0030018988
374,Amanda Conway,Goal,179,42,21.005951537600005,0.023814023984133337,Snapshot,On Net,1,5,5,1,1,0.82018983
375,Maggie LaGue,Shot,160,68,47.43680006071236,-0.7406651699488856,Wristshot,On Net,1,5,4,0,0,0.122770734
376,Theresa Knutson,Shot,168,68,40.91760012512953,-1.0232211986650843,Wristshot,On Net,1,5,5,0,0,0.055769533
377,Kiira Dosdall,Shot,135,45,65.04805915628843,-0.038480514945958215,Slapshot,On Net,1,4,5,0,0,0.011610257
378,Mallory Rushton,Shot,173,40,27.115493725912497,0.09285811394383614,Snapshot,On Net,1,4,5,0,0,0.21720618
379,Mallory Rushton,Shot,166,18,41.907636535600524,0.8781091713871755,Wristshot,On Net,1,4,5,0,0,0.019695586
380,Emily Janiga,Shot,182,40,18.172781845386247,0.13978889529234326,Snapshot,On Net,1,4,5,0,0,0.097868256
381,Mallory Rushton,Shot,157,21,48.075461516245475,0.5463024898437905,Wristshot,Missed,1,4,5,0,0,0.003219444
382,Kelly Babstock,Shot,175,81,45.90479277809671,-32.4611389128568,Snapshot,On Net,1,5,5,0,0,0.041213892
383,Katelynn Russ,Shot,156,62,48.12743500333256,-0.47467338992449837,Snapshot,On Net,1,5,5,0,0,0.4022769
384,Alyssa Wohlfeiler,Shot,142,31,59.12909605262032,0.20091567575865746,Snapshot,Missed,1,5,5,0,0,0.0012726124
385,Katelynn Russ,Goal,179,38,21.47673159491453,0.2176269813251559,Deflection,On Net,1,5,5,1,1,0.6624346
386,Tori Howran,Shot,178,20,31.468237955119125,1.6381315966590542,Snapshot,On Net,1,5,5,0,0,0.3307219
387,Allie Olnowich,Shot,154,83,61.28825336065631,-1.2107356792852464,Snapshot,On Net,1,5,5,0,0,0.021649616
388,Emma Vlasic,Shot,156,19,49.882361612096915,0.5914255599987321,Snapshot,On Net,1,5,5,0,0,0.04188546
389,Hanna Beattie,Shot,133,57,68.55107584859628,-0.21986120161844203,Snapshot,On Net,1,5,5,0,0,0.11572016
390,Taylor Marchin,Shot,142,80,69.06699645995909,-0.7547775321058925,Snapshot,Missed,1,5,5,0,0,0.0013542378
391,Sarah Schwenzfeier,Shot,174,52,27.681221071332818,-0.3825628991488136,Deflection,Missed,1,5,5,0,0,0.00067048054
392,Amanda Conway,Shot,180,42,20.006249023742555,0.025005209635746147,Snapshot,On Net,1,5,5,0,1,0.7675951
393,Janine Weber,Shot,173,60,32.17530108639234,-0.7572864467458501,Snapshot,On Net,1,5,4,0,0,0.27921268
394,Sammy Kolowrat,Shot,132,30,69.13935203630419,0.1859224361961673,Slapshot,Missed,1,4,4,0,0,0.0011087038
395,Kelly Babstock,Shot,155,74,54.92950027080166,-0.8422883804630794,Slapshot,On Net,2,4,4,0,0,0.05336881
396,Rebecca Russo,Shot,162,63,43.176961449365564,-0.5987144193286822,Slapshot,On Net,2,4,5,0,0,0.076789744
397,Theresa Knutson,Shot,187,48,14.115594213493104,-0.4502681807411527,Snapshot,On Net,2,5,5,0,0,0.4680267
398,Theresa Knutson,Shot,158,22,46.735960458730275,0.5309439547060846,Wristshot,On Net,2,5,5,0,0,0.0836654
399,Theresa Knutson,Shot,188,14,30.923292192132454,-0.9630789471610371,Wristshot,On Net,2,5,5,0,0,0.029170763
400,Amanda Conway,Shot,172,45,28.111385593741193,-0.08952373338662137,Wristshot,On Net,2,5,5,0,0,0.08694519
401,Kiira Dosdall,Shot,136,48,64.23589339302443,-0.0861496835864379,Wristshot,Missed,2,4,5,0,0,0.0014579514
402,Kelly Babstock,Shot,171,46,29.21044333795706,-0.12127907784005254,Deflection,Missed,2,4,5,0,0,0.0027093454
403,Rebecca Russo,Goal,182,40,18.172781845386247,0.13978889529234326,Deflection,On Net,2,4,5,1,1,0.8842374
404,Katelynn Russ,Shot,183,43,17.00735135169495,-0.02942024854248897,Snapshot,On Net,2,5,5,0,0,0.4626464
405,Kayla Friesen,Shot,155,68,51.7228189487,-0.6362757584923948,Wristshot,On Net,2,5,5,0,0,0.0573602
406,Katelynn Russ,Shot,171,36,29.71952220342716,0.22796832141930412,Snapshot,On Net,2,5,5,0,1,0.61287737
407,Katelynn Russ,Shot,179,17,33.03407331831786,2.6851094289090547,Wristshot,On Net,2,5,5,0,0,0.038537834
408,Emma Vlasic,Shot,164,47,36.28015986734347,-0.12565513657513097,Wristshot,On Net,2,5,5,0,0,0.14171737
409,Rebecca Russo,Shot,157,66,49.002550954006466,-0.6083157929866118,Wristshot,On Net,2,5,5,0,0,0.053866338
410,Janine Weber,Shot,167,64,39.38591118661596,-0.7625979317265911,Wristshot,Missed,2,5,5,0,0,0.0013891805
411,Kaycie Anderson,Shot,170,40,30.103986446980738,0.08352677191506926,Snapshot,On Net,2,5,5,0,1,0.5865215
412,Mackenzie Lancaster,Shot,171,25,33.8710791088799,0.6892110168166822,Wristshot,Missed,2,5,5,0,0,0.0011288745
413,Maddie Bishop,Shot,159,68,48.28301978956991,-0.7168588093501074,Wristshot,On Net,2,5,5,0,0,0.051719647
414,Madison Packer,Shot,152,56,49.86231041578399,-0.2889081724405147,Slapshot,On Net,2,5,5,0,0,0.15237512
415,Taylor Marchin,Shot,130,57,71.48601261785413,-0.21015731213636463,Slapshot,Missed,2,5,5,0,0,0.0018145009
416,Tori Howran,Shot,133,8,75.36079882803791,0.5658430673783744,Wristshot,On Net,2,5,5,0,0,0.009601569
417,Janine Weber,Shot,180,25,26.575364531836623,1.197421629234348,Wristshot,On Net,2,5,5,0,0,0.010487132
418,Katelynn Russ,Shot,185,80,40.38873605350878,0.7470222972386603,Wristshot,On Net,2,5,5,0,0,0.0031083894
419,Taylor Marchin,Shot,132,75,75.36743328520615,-0.5179968042405361,Wristshot,On Net,2,5,5,0,0,0.0075004725
420,Sarah Schwenzfeier,Shot,173,35,28.02231253840411,0.2851498860435686,Snapshot,On Net,2,5,5,0,1,0.545694
421,Kaycie Anderson,Shot,186,38,14.705441169852742,0.33297561286085925,Snapshot,On Net,2,5,5,0,1,0.5433522
422,Kaycie Anderson,Goal,187,40,13.238202294873727,0.19471395108713133,Snapshot,On Net,2,5,5,1,1,0.9488082
423,Maggie LaGue,Shot,153,12,56.029010342857205,0.7585271265238643,Slapshot,Missed,2,5,5,0,0,0.0012458467
424,Hanna Beattie,Shot,182,66,29.60152023123137,-3.681328385207594,Wristshot,On Net,2,5,5,0,0,0.013589525
425,Grace Klienbach,Shot,168,46,32.190837205639745,-0.1098132442407294,Wristshot,Missed,2,5,5,0,0,0.0019366099
426,Janine Weber,Shot,189,48,12.298373876248844,-0.5463024898437905,Wrap Around,On Net,2,5,5,0,0,0.058336053
427,Kayla Friesen,Shot,183,42,17.00735135169495,0.02942024854248897,Snapshot,On Net,2,5,5,0,1,0.6644457
428,Shannon Doyle,Shot,129,68,75.44037380607283,-0.375438358959816,Wristshot,On Net,3,5,5,0,0,0.027120473
429,Theresa Knutson,Shot,162,66,44.67941360403021,-0.7115280053360952,Snapshot,On Net,3,5,5,0,0,0.081512704
430,Shannon Doyle,Shot,139,24,63.7436271324436,0.3129323323775812,Slapshot,Missed,3,5,4,0,0,0.002722378
431,Shannon Doyle,Shot,138,21,65.62202374203343,0.36137715004549836,Slapshot,Missed,3,5,4,0,0,0.002722378
432,Emma Vlasic,Shot,174,43,26.004807247891687,-0.01923314023846709,Deflection,Missed,3,5,4,0,0,0.0013978246
433,Shannon Doyle,Shot,152,11,57.41297762701391,0.7701135513442087,Slapshot,On Net,3,5,4,0,0,0.003403544
434,Mackenzie Lancaster,Shot,168,21,38.55191305240247,0.7953105935686742,Wristshot,On Net,3,5,4,0,0,0.00598137
435,Theresa Knutson,Goal,169,33,32.42298567374695,0.31641944468732,Snapshot,On Net,3,5,5,1,1,0.76325876
436,Mackenzie Lancaster,Shot,145,25,57.716981903075975,0.32937276546596006,Snapshot,On Net,3,5,5,0,0,0.49176338
437,Maddie Bishop,Shot,142,49,58.36308764964376,-0.1125405095627059,Snapshot,Missed,3,5,5,0,0,0.0028682058
438,Mackenzie Lancaster,Shot,150,57,52.06006146750117,-0.29841278656943165,Snapshot,On Net,3,5,5,0,0,0.08771775
439,Taylor Marchin,Shot,142,64,61.85668920981788,-0.38865677946945243,Slapshot,On Net,3,5,5,0,0,0.00872009
440,Emma Vlasic,Shot,160,29,42.21670285562339,0.3509265330436848,Slapshot,Missed,3,5,5,0,0,0.0020086735
